School,Score,Latitude,Longitude,Suburb,Post,geometry
Our Lady of Good Counsel Parish School,96,-37.811008,145.062787,Balwyn,3103,POINT (145.062787 -37.811008)
St Bridget's Primary School,99,-37.7957615,145.1030499,Balwyn North,3104,POINT (145.1030499 -37.7957615)
Balwyn North Primary School,98,-37.7949334,145.0776188,Balwyn North,3104,POINT (145.0776188 -37.7949334)
Ripponlea Primary School,87,-37.8747042,145.007216,St Kilda East,3183,POINT (145.007216 -37.8747042)
St Kilda Park Primary School,95,-37.8579139,144.9775333,St Kilda West,3182,POINT (144.9775333 -37.8579139)
St Michael's Grammar School,90,-37.8592111,144.990006729435,St Kilda West,3182,POINT (144.990006729435 -37.8592111)
St Kilda Primary School,87,-37.8681267,144.9873113,St Kilda West,3182,POINT (144.9873113 -37.8681267)
Abbotsford Primary School,88,-37.8074521,144.9987375,Abbotsford,3067,POINT (144.9987375 -37.8074521)
Greythorn Primary School,98,-37.801206,145.0951295,Balwyn North,3104,POINT (145.0951295 -37.801206)
Richmond West Primary School,90,-37.8132997,144.9954611,Burnley,3121,POINT (144.9954611 -37.8132997)
Yarra Primary School,82,-37.8161729,145.0074038,Burnley,3121,POINT (145.0074038 -37.8161729)
Trinity Catholic School,82,-37.8152105,145.0075925,Burnley,3121,POINT (145.0075925 -37.8152105)
Black Rock Primary School,96,-37.9698649,145.0198286,Beaumaris,3193,POINT (145.0198286 -37.9698649)
Kilvington Grammar School,99,-37.9000905,145.0411966,Bentleigh,3204,POINT (145.0411966 -37.9000905)
St Paul's Primary School,97,-37.969266,145.242326,Bentleigh,3204,POINT (145.242326 -37.969266)
Fitzroy North Primary School,91,-37.7817807,144.9849225,Clifton Hill,3068,POINT (144.9849225 -37.7817807)
Spensley Street Primary School,90,-37.7867925,145.0035893,Clifton Hill,3068,POINT (145.0035893 -37.7867925)
St John's School,71,-37.7903559,144.988221,Clifton Hill,3068,POINT (144.988221 -37.7903559)
Collingwood College,68,-37.8034009,144.990386,Collingwood,3066,POINT (144.990386 -37.8034009)
St Joseph's School,64,-37.8004326,144.986829002595,Collingwood,3066,POINT (144.986829002595 -37.8004326)
Mckinnon Primary School,97,-37.9079538,145.0524282,Bentleigh,3204,POINT (145.0524282 -37.9079538)
Richmond West Primary School,90,-37.8132997,144.9954611,Cremorne,3121,POINT (144.9954611 -37.8132997)
Yarra Primary School,82,-37.8161729,145.0074038,Cremorne,3121,POINT (145.0074038 -37.8161729)
Trinity Catholic School,82,-37.8152105,145.0075925,Cremorne,3121,POINT (145.0075925 -37.8152105)
Fitzroy Primary School,67,-37.7944453,144.982592,Fitzroy,3065,POINT (144.982592 -37.7944453)
Sacred Heart School,65,-37.802065,144.97876105,Fitzroy,3065,POINT (144.97876105 -37.802065)
St Margaret's School,99,-38.0377549,145.3450344,Berwick,3806,POINT (145.3450344 -38.0377549)
Black Rock Primary School,96,-37.9698649,145.0198286,Black Rock,3193,POINT (145.0198286 -37.9698649)
Whitehorse Primary School,97,-37.807888,145.1672033,Blackburn,3130,POINT (145.1672033 -37.807888)
Fitzroy North Primary School,91,-37.7817807,144.9849225,Fitzroy North,3068,POINT (144.9849225 -37.7817807)
Spensley Street Primary School,90,-37.7867925,145.0035893,Fitzroy North,3068,POINT (145.0035893 -37.7867925)
St John's School,71,-37.7903559,144.988221,Fitzroy North,3068,POINT (144.988221 -37.7903559)
Carlton North Primary School,93,-37.7912098,144.971647,Princes Hill,3054,POINT (144.971647 -37.7912098)
Princes Hill Primary School,86,-37.7825041,144.9765235,Princes Hill,3054,POINT (144.9765235 -37.7825041)
Laburnum Primary School,97,-37.8271341,145.1381578,Blackburn,3130,POINT (145.1381578 -37.8271341)
Richmond West Primary School,90,-37.8132997,144.9954611,Richmond,3121,POINT (144.9954611 -37.8132997)
Yarra Primary School,82,-37.8161729,145.0074038,Richmond,3121,POINT (145.0074038 -37.8161729)
Trinity Catholic School,82,-37.8152105,145.0075925,Richmond,3121,POINT (145.0075925 -37.8152105)
St Pius X School,74,-37.74716599999999,145.046219,Bellfield,3081,POINT (145.046219 -37.74716599999999)
Greenhills Primary School,95,-37.6939603,145.1178894,Briar Hill,3088,POINT (145.1178894 -37.6939603)
Apollo Parkways Primary School,91,-37.6883593,145.1102669,Briar Hill,3088,POINT (145.1102669 -37.6883593)
Greensborough Primary School,88,-37.703492,145.099938706607,Briar Hill,3088,POINT (145.099938706607 -37.703492)
Plenty Valley International Montessori School,88,-37.6836186,145.1364884,Briar Hill,3088,POINT (145.1364884 -37.6836186)
St Mary's School,88,-37.7022746,145.093300882138,Briar Hill,3088,POINT (145.093300882138 -37.7022746)
Sherbourne Primary School,84,-37.7093425,145.1292929,Briar Hill,3088,POINT (145.1292929 -37.7093425)
St Thomas the Apostle School,83,-37.823727,145.1578353,Briar Hill,3088,POINT (145.1578353 -37.823727)
Watsonia Heights Primary School,81,-37.7050725,145.1006064,Briar Hill,3088,POINT (145.1006064 -37.7050725)
Briar Hill Primary School,78,-37.7076984,145.1160324,Briar Hill,3088,POINT (145.1160324 -37.7076984)
Orchard Grove Primary School,97,-37.8405318,145.148500992832,Blackburn,3130,POINT (145.148500992832 -37.8405318)
Bundoora Primary School,85,-37.7070807,145.0639721,Bundoora,3083,POINT (145.0639721 -37.7070807)
St Damian's School,83,-37.69849239999999,145.0568907,Bundoora,3083,POINT (145.0568907 -37.69849239999999)
Our Lady of the Way School,78,-37.7145813,145.0358992,Bundoora,3083,POINT (145.0358992 -37.7145813)
Norris Bank Primary School,75,-37.6977697,145.0585346,Bundoora,3083,POINT (145.0585346 -37.6977697)
Kingsbury Primary School,66,-37.713727,145.0391899,Bundoora,3083,POINT (145.0391899 -37.713727)
Blackburn Lake Primary School,96,-37.8270212,145.1656132,Blackburn,3130,POINT (145.1656132 -37.8270212)
Heidelberg Primary School,95,-37.7584035,145.0667302,Eaglemont,3084,POINT (145.0667302 -37.7584035)
St John's Primary School,93,-37.8333993,144.6658433,Eaglemont,3084,POINT (144.6658433 -37.8333993)
Rosanna Golf Links Primary School,93,-37.7352913,145.0748274,Eaglemont,3084,POINT (145.0748274 -37.7352913)
Rosanna Primary School,89,-37.742444,145.0646423,Eaglemont,3084,POINT (145.0646423 -37.742444)
St Martin of Tours School,88,-37.8539503,144.7772542,Eaglemont,3084,POINT (144.7772542 -37.8539503)
Viewbank Primary School,87,-37.7337445,145.0899074,Eaglemont,3084,POINT (145.0899074 -37.7337445)
St Philip's School,96,-37.8067281,145.1614756,Blackburn,3130,POINT (145.1614756 -37.8067281)
Kingswood College,99,-37.8191249,145.123665,Box Hill,3128,POINT (145.123665 -37.8191249)
Holy Trinity Primary School,95,-37.69859135,145.135343014517,Eltham North,3095,POINT (145.135343014517 -37.69859135)
Research Primary School,93,-37.7012158,145.1873497,Eltham North,3095,POINT (145.1873497 -37.7012158)
ELTHAM College of Education,89,-37.700164,145.193224,Eltham North,3095,POINT (145.193224 -37.700164)
Our Lady Help of Christians School,89,-37.7766652,144.9778345,Eltham North,3095,POINT (144.9778345 -37.7766652)
Eltham North Primary School,88,-37.703665,145.1534536,Eltham North,3095,POINT (145.1534536 -37.703665)
Glen Katherine Primary School,87,-37.6904132,145.1403089,Eltham North,3095,POINT (145.1403089 -37.6904132)
Greenhills Primary School,95,-37.6939603,145.1178894,Greensborough,3088,POINT (145.1178894 -37.6939603)
Apollo Parkways Primary School,91,-37.6883593,145.1102669,Greensborough,3088,POINT (145.1102669 -37.6883593)
Greensborough Primary School,88,-37.703492,145.099938706607,Greensborough,3088,POINT (145.099938706607 -37.703492)
Plenty Valley International Montessori School,88,-37.6836186,145.1364884,Greensborough,3088,POINT (145.1364884 -37.6836186)
St Mary's School,88,-37.7022746,145.093300882138,Greensborough,3088,POINT (145.093300882138 -37.7022746)
Sherbourne Primary School,84,-37.7093425,145.1292929,Greensborough,3088,POINT (145.1292929 -37.7093425)
St Thomas the Apostle School,83,-37.823727,145.1578353,Greensborough,3088,POINT (145.1578353 -37.823727)
Watsonia Heights Primary School,81,-37.7050725,145.1006064,Greensborough,3088,POINT (145.1006064 -37.7050725)
Briar Hill Primary School,78,-37.7076984,145.1160324,Greensborough,3088,POINT (145.1160324 -37.7076984)
Kerrimuir Primary School,97,-37.8036981,145.134651,Box Hill North,3129,POINT (145.134651 -37.8036981)
Heidelberg Primary School,95,-37.7584035,145.0667302,Heidelberg,3084,POINT (145.0667302 -37.7584035)
St John's Primary School,93,-37.8333993,144.6658433,Heidelberg,3084,POINT (144.6658433 -37.8333993)
Rosanna Golf Links Primary School,93,-37.7352913,145.0748274,Heidelberg,3084,POINT (145.0748274 -37.7352913)
Rosanna Primary School,89,-37.742444,145.0646423,Heidelberg,3084,POINT (145.0646423 -37.742444)
St Martin of Tours School,88,-37.8539503,144.7772542,Heidelberg,3084,POINT (144.7772542 -37.8539503)
Viewbank Primary School,87,-37.7337445,145.0899074,Heidelberg,3084,POINT (145.0899074 -37.7337445)
Kingswood College,99,-37.8191249,145.123665,Box Hill South,3128,POINT (145.123665 -37.8191249)
Brighton Grammar School,98,-37.9067927,145.0009575,Brighton,3186,POINT (145.0009575 -37.9067927)
Ivanhoe Girls' Grammar School,95,-37.7668504,145.046931658627,Ivanhoe,3079,POINT (145.046931658627 -37.7668504)
Ivanhoe Grammar School,93,-37.7734892,145.0439763,Ivanhoe,3079,POINT (145.0439763 -37.7734892)
Mary Immaculate School,92,-37.7721803,145.0382234,Ivanhoe,3079,POINT (145.0382234 -37.7721803)
Mother of God Primary School,73,-37.7796297,144.8007814,Ivanhoe,3079,POINT (144.8007814 -37.7796297)
Firbank Grammar School,97,-37.9067927,145.0009575,Brighton,3186,POINT (145.0009575 -37.9067927)
St Joan of Arc School,97,-37.9201087,144.9943506,Brighton,3186,POINT (144.9943506 -37.9201087)
Ivanhoe Girls' Grammar School,95,-37.7668504,145.046931658627,Ivanhoe East,3079,POINT (145.046931658627 -37.7668504)
Ivanhoe Grammar School,93,-37.7734892,145.0439763,Ivanhoe East,3079,POINT (145.0439763 -37.7734892)
Mary Immaculate School,92,-37.7721803,145.0382234,Ivanhoe East,3079,POINT (145.0382234 -37.7721803)
Mother of God Primary School,73,-37.7796297,144.8007814,Ivanhoe East,3079,POINT (144.8007814 -37.7796297)
Lower Plenty Primary School,89,-37.7324735,145.1358571,Lower Plenty,3093,POINT (145.1358571 -37.7324735)
Streeton Primary School,85,-37.7223907,145.1038568,Macleod,3085,POINT (145.1038568 -37.7223907)
Macleod College,85,-37.7255462,145.0706702,Macleod,3085,POINT (145.0706702 -37.7255462)
St Leonard's College,98,-37.9285403,145.007608515525,Brighton East,3187,POINT (145.007608515525 -37.9285403)
Montmorency South Primary School,94,-37.7262887,145.1314797,Montmorency,3094,POINT (145.1314797 -37.7262887)
St Francis Xavier Primary School,80,-37.8177411,145.1320572,Montmorency,3094,POINT (145.1320572 -37.8177411)
Gardenvale Primary School,97,-37.9021758,145.0153126,Brighton East,3187,POINT (145.0153126 -37.9021758)
Heidelberg Primary School,95,-37.7584035,145.0667302,Rosanna,3084,POINT (145.0667302 -37.7584035)
St John's Primary School,93,-37.8333993,144.6658433,Rosanna,3084,POINT (144.6658433 -37.8333993)
Rosanna Golf Links Primary School,93,-37.7352913,145.0748274,Rosanna,3084,POINT (145.0748274 -37.7352913)
Rosanna Primary School,89,-37.742444,145.0646423,Rosanna,3084,POINT (145.0646423 -37.742444)
St Martin of Tours School,88,-37.8539503,144.7772542,Rosanna,3084,POINT (144.7772542 -37.8539503)
Viewbank Primary School,87,-37.7337445,145.0899074,Rosanna,3084,POINT (145.0899074 -37.7337445)
Greenhills Primary School,95,-37.6939603,145.1178894,St Helena,3088,POINT (145.1178894 -37.6939603)
Apollo Parkways Primary School,91,-37.6883593,145.1102669,St Helena,3088,POINT (145.1102669 -37.6883593)
Greensborough Primary School,88,-37.703492,145.099938706607,St Helena,3088,POINT (145.099938706607 -37.703492)
Plenty Valley International Montessori School,88,-37.6836186,145.1364884,St Helena,3088,POINT (145.1364884 -37.6836186)
St Mary's School,88,-37.7022746,145.093300882138,St Helena,3088,POINT (145.093300882138 -37.7022746)
Sherbourne Primary School,84,-37.7093425,145.1292929,St Helena,3088,POINT (145.1292929 -37.7093425)
St Thomas the Apostle School,83,-37.823727,145.1578353,St Helena,3088,POINT (145.1578353 -37.823727)
Watsonia Heights Primary School,81,-37.7050725,145.1006064,St Helena,3088,POINT (145.1006064 -37.7050725)
Briar Hill Primary School,78,-37.7076984,145.1160324,St Helena,3088,POINT (145.1160324 -37.7076984)
Our Lady Help of Christians School,96,-37.7766652,144.9778345,Brunswick East,3057,POINT (144.9778345 -37.7766652)
Heidelberg Primary School,95,-37.7584035,145.0667302,Viewbank,3084,POINT (145.0667302 -37.7584035)
St John's Primary School,93,-37.8333993,144.6658433,Viewbank,3084,POINT (144.6658433 -37.8333993)
Rosanna Golf Links Primary School,93,-37.7352913,145.0748274,Viewbank,3084,POINT (145.0748274 -37.7352913)
Rosanna Primary School,89,-37.742444,145.0646423,Viewbank,3084,POINT (145.0646423 -37.742444)
St Martin of Tours School,88,-37.8539503,144.7772542,Viewbank,3084,POINT (144.7772542 -37.8539503)
Viewbank Primary School,87,-37.7337445,145.0899074,Viewbank,3084,POINT (145.0899074 -37.7337445)
Watsonia North Primary School,87,-37.7008252,145.0801819,Watsonia,3087,POINT (145.0801819 -37.7008252)
Watsonia Primary School,79,-37.7074273,145.0830471,Watsonia,3087,POINT (145.0830471 -37.7074273)
Watsonia North Primary School,87,-37.7008252,145.0801819,Watsonia North,3087,POINT (145.0801819 -37.7008252)
Watsonia Primary School,79,-37.7074273,145.0830471,Watsonia North,3087,POINT (145.0830471 -37.7074273)
Streeton Primary School,85,-37.7223907,145.1038568,Yallambie,3085,POINT (145.1038568 -37.7223907)
Macleod College,85,-37.7255462,145.0706702,Yallambie,3085,POINT (145.0706702 -37.7255462)
Northside Christian College,96,-37.6944696,145.0568305,Bundoora,3083,POINT (145.0568305 -37.6944696)
Alphington Grammar School,93,-37.7801918,145.03652,Alphington,3078,POINT (145.03652 -37.7801918)
St Anthony's School,92,-37.7805074,145.0200963,Alphington,3078,POINT (145.0200963 -37.7805074)
Fairfield Primary School,90,-37.7777516,145.0200083,Alphington,3078,POINT (145.0200083 -37.7777516)
Richmond Primary School,96,-37.8313851,145.0001527,Burnley,3121,POINT (145.0001527 -37.8313851)
Alphington Grammar School,93,-37.7801918,145.03652,Fairfield,3078,POINT (145.03652 -37.7801918)
St Anthony's School,92,-37.88715759999999,145.0466859,Fairfield,3078,POINT (145.0466859 -37.88715759999999)
Fairfield Primary School,90,-37.7777516,145.0200083,Fairfield,3078,POINT (145.0200083 -37.7777516)
Presbyterian Ladies' College,100,-37.848235,145.1072021,Burwood,3125,POINT (145.1072021 -37.848235)
Bundoora Primary School,85,-37.7070807,145.0639721,Kingsbury,3083,POINT (145.0639721 -37.7070807)
St Damian's School,83,-37.69849239999999,145.0568907,Kingsbury,3083,POINT (145.0568907 -37.69849239999999)
Our Lady of the Way School,78,-37.7145813,145.0358992,Kingsbury,3083,POINT (145.0358992 -37.7145813)
Norris Bank Primary School,75,-37.6977697,145.0585346,Kingsbury,3083,POINT (145.0585346 -37.6977697)
Kingsbury Primary School,66,-37.713727,145.0391899,Kingsbury,3083,POINT (145.0391899 -37.713727)
Westgarth Primary School,95,,,Northcote,3070,POINT (nan nan)
Northcote Primary School,95,-37.7700869,144.9973989,Northcote,3070,POINT (144.9973989 -37.7700869)
St Joseph's Primary School,91,-37.8007882,144.9860966,Northcote,3070,POINT (144.9860966 -37.8007882)
Westgarth Primary School,95,,,Westgarth,3070,POINT (nan nan)
Northcote Primary School,95,-37.7700869,144.9973989,Westgarth,3070,POINT (144.9973989 -37.7700869)
St Joseph's Primary School,91,-37.8007882,144.9860966,Westgarth,3070,POINT (144.9860966 -37.8007882)
Wattle Park Primary School,97,-37.851919,145.0953536,Burwood,3125,POINT (145.0953536 -37.851919)
Burwood East Primary School,100,-37.8597724,145.1507632,Burwood East,3151,POINT (145.1507632 -37.8597724)
Bell Primary School,92,-37.7484043,144.986384,Preston,3072,POINT (144.986384 -37.7484043)
Preston Primary School,92,-37.7299159,145.010876645496,Preston,3072,POINT (145.010876645496 -37.7299159)
Preston South Primary School,91,-37.7492246,145.0070192,Preston,3072,POINT (145.0070192 -37.7492246)
Sacred Heart Primary School,90,-37.744661,145.0042175,Preston,3072,POINT (145.0042175 -37.744661)
St Raphael's Primary School,86,-37.73466719999999,144.9922882,Preston,3072,POINT (144.9922882 -37.73466719999999)
Preston North East Primary School,82,-37.733588,145.029469,Preston,3072,POINT (145.029469 -37.733588)
St John's College,81,,,Preston,3072,POINT (nan nan)
Maharishi School,84,-37.7044674,145.019509194244,Reservoir,3073,POINT (145.019509194244 -37.7044674)
Reservoir Primary School,81,-37.7108729,145.0073088,Reservoir,3073,POINT (145.0073088 -37.7108729)
St Gabriel's School,81,-37.71910070000001,145.0049388,Reservoir,3073,POINT (145.0049388 -37.71910070000001)
St Joseph the Worker School,79,-37.7016869,144.9925751,Reservoir,3073,POINT (144.9925751 -37.7016869)
Reservoir West Primary School,78,-37.7219289,144.9905568,Reservoir,3073,POINT (144.9905568 -37.7219289)
Holy Name Primary School,76,-37.7305008,145.0185261,Reservoir,3073,POINT (145.0185261 -37.7305008)
Reservoir Views Primary School,73,-37.7057394,145.0216073,Reservoir,3073,POINT (145.0216073 -37.7057394)
Reservoir East Primary School,70,-37.717972,145.0215699,Reservoir,3073,POINT (145.0215699 -37.717972)
St Stephen's School,69,-37.712187,145.0191367,Reservoir,3073,POINT (145.0191367 -37.712187)
Camberwell Primary School,99,-37.8425083,145.0694574,Camberwell,3124,POINT (145.0694574 -37.8425083)
Wales Street Primary School,92,-37.7618012,145.0085537,Thornbury,3071,POINT (145.0085537 -37.7618012)
St Mary's School,87,-37.756846350000004,145.00168795222,Thornbury,3071,POINT (145.00168795222 -37.75684635)
Holy Spirit School,80,-37.7600068,145.0048258,Thornbury,3071,POINT (145.0048258 -37.7600068)
Penders Grove Primary School,78,-37.75471385,145.014851360963,Thornbury,3071,POINT (145.014851360963 -37.75471385)
Thornbury Primary School,76,-37.7546028,144.9875986,Thornbury,3071,POINT (144.9875986 -37.7546028)
Westmeadows Primary School,77,-37.6771294,144.8951285,Attwood,3049,POINT (144.8951285 -37.6771294)
Broadmeadows Primary School,87,-37.6806195,144.9281386,Broadmeadows,3047,POINT (144.9281386 -37.6806195)
Ilim College of Australia,68,,,Broadmeadows,3047,POINT (nan nan)
St Dominic's School,66,-37.6872752,144.9360351,Broadmeadows,3047,POINT (144.9360351 -37.6872752)
Broadmeadows Valley Primary School,65,-37.6815182,144.9130868,Broadmeadows,3047,POINT (144.9130868 -37.6815182)
Dallas Brooks Community Primary School,64,-37.6708215,144.9426428,Broadmeadows,3047,POINT (144.9426428 -37.6708215)
Holy Child Primary School,64,-37.66610180000001,144.9326103,Broadmeadows,3047,POINT (144.9326103 -37.66610180000001)
Meadows Primary School,63,-37.68784220000001,144.9293208,Broadmeadows,3047,POINT (144.9293208 -37.68784220000001)
Campbellfield Heights Primary School,65,-37.6740928,144.9641511,Campbellfield,3061,POINT (144.9641511 -37.6740928)
St Mary's Coptic Orthodox College,80,-37.6555274,144.9323847,Coolaroo,3048,POINT (144.9323847 -37.6555274)
Bethal Primary School,65,-37.6588755,144.9177759,Coolaroo,3048,POINT (144.9177759 -37.6588755)
Meadow Heights Primary School,64,-37.6508221,144.9258237,Coolaroo,3048,POINT (144.9258237 -37.6508221)
Coolaroo South Primary School,64,-37.6618425,144.9327619,Coolaroo,3048,POINT (144.9327619 -37.6618425)
Hume Anglican Grammar,89,-37.5639147,144.8920155,Craigieburn,3064,POINT (144.8920155 -37.5639147)
Craigieburn South Primary School,80,-37.60878865,144.934577752219,Craigieburn,3064,POINT (144.934577752219 -37.60878865)
Willmott Park Primary School,79,-37.5962186,144.9219729,Craigieburn,3064,POINT (144.9219729 -37.5962186)
Roxburgh Homestead Primary School,76,-37.6342287,144.9157325,Craigieburn,3064,POINT (144.9157325 -37.6342287)
Roxburgh Park Primary School,73,-37.6353184,144.930851,Craigieburn,3064,POINT (144.930851 -37.6353184)
Our Lady's Primary School,70,-37.5985879,144.9303908,Craigieburn,3064,POINT (144.9303908 -37.5985879)
Craigieburn Primary School,67,-37.5826189,144.932522044765,Craigieburn,3064,POINT (144.932522044765 -37.5826189)
Roxburgh Rise Primary School,66,-37.61617469999999,144.9227706,Craigieburn,3064,POINT (144.9227706 -37.61617469999999)
Mickleham Primary School,66,-37.5619765,144.8766867,Craigieburn,3064,POINT (144.8766867 -37.5619765)
Good Samaritan Catholic Primary School,66,-37.6229664,144.9345857,Craigieburn,3064,POINT (144.9345857 -37.6229664)
Broadmeadows Primary School,87,-37.6806195,144.9281386,Dallas,3047,POINT (144.9281386 -37.6806195)
Ilim College of Australia,68,,,Dallas,3047,POINT (nan nan)
St Dominic's School,66,-37.6872752,144.9360351,Dallas,3047,POINT (144.9360351 -37.6872752)
Broadmeadows Valley Primary School,65,-37.6815182,144.9130868,Dallas,3047,POINT (144.9130868 -37.6815182)
Dallas Brooks Community Primary School,64,-37.6708215,144.9426428,Dallas,3047,POINT (144.9426428 -37.6708215)
Holy Child Primary School,64,-37.66610180000001,144.9326103,Dallas,3047,POINT (144.9326103 -37.66610180000001)
Meadows Primary School,63,-37.68784220000001,144.9293208,Dallas,3047,POINT (144.9293208 -37.68784220000001)
Tullamarine Primary School,85,-37.703577,144.8794752,Gladstone Park,3043,POINT (144.8794752 -37.703577)
School of the Good Shepherd,78,-37.6918189,144.8903958,Gladstone Park,3043,POINT (144.8903958 -37.6918189)
Gladstone Views Primary School,78,-37.698789,144.8883594,Gladstone Park,3043,POINT (144.8883594 -37.698789)
Gladstone Park Primary School,77,-37.6877579,144.8870904,Gladstone Park,3043,POINT (144.8870904 -37.6877579)
St Carlo Borromeo Primary School,85,-37.653446,144.889515,Greenvale,3059,POINT (144.889515 -37.653446)
Aitken College,83,-37.6273369,144.888192452197,Greenvale,3059,POINT (144.888192452197 -37.6273369)
Greenvale Primary School,78,-37.64041,144.8854677,Greenvale,3059,POINT (144.8854677 -37.64041)
Broadmeadows Primary School,87,-37.6806195,144.9281386,Jacana,3047,POINT (144.9281386 -37.6806195)
Ilim College of Australia,68,,,Jacana,3047,POINT (nan nan)
St Dominic's School,66,-37.6872752,144.9360351,Jacana,3047,POINT (144.9360351 -37.6872752)
Broadmeadows Valley Primary School,65,-37.6815182,144.9130868,Jacana,3047,POINT (144.9130868 -37.6815182)
Dallas Brooks Community Primary School,64,-37.6708215,144.9426428,Jacana,3047,POINT (144.9426428 -37.6708215)
Holy Child Primary School,64,-37.66610180000001,144.9326103,Jacana,3047,POINT (144.9326103 -37.66610180000001)
Meadows Primary School,63,-37.68784220000001,144.9293208,Jacana,3047,POINT (144.9293208 -37.68784220000001)
Hume Anglican Grammar,89,-37.5639147,144.8920155,Kalkallo,3064,POINT (144.8920155 -37.5639147)
Craigieburn South Primary School,80,-37.60878865,144.934577752219,Kalkallo,3064,POINT (144.934577752219 -37.60878865)
Willmott Park Primary School,79,-37.5962186,144.9219729,Kalkallo,3064,POINT (144.9219729 -37.5962186)
Roxburgh Homestead Primary School,76,-37.6342287,144.9157325,Kalkallo,3064,POINT (144.9157325 -37.6342287)
Roxburgh Park Primary School,73,-37.6353184,144.930851,Kalkallo,3064,POINT (144.930851 -37.6353184)
Our Lady's Primary School,70,-37.5985879,144.9303908,Kalkallo,3064,POINT (144.9303908 -37.5985879)
Craigieburn Primary School,67,-37.5826189,144.932522044765,Kalkallo,3064,POINT (144.932522044765 -37.5826189)
Roxburgh Rise Primary School,66,-37.61617469999999,144.9227706,Kalkallo,3064,POINT (144.9227706 -37.61617469999999)
Mickleham Primary School,66,-37.5619765,144.8766867,Kalkallo,3064,POINT (144.8766867 -37.5619765)
Good Samaritan Catholic Primary School,66,-37.6229664,144.9345857,Kalkallo,3064,POINT (144.9345857 -37.6229664)
